player_id,player,nfl_team,nfl_season,nfl_targets,nfl_contested_targets,nfl_contested_receptions,nfl_cc_rate,nfl_receptions,nfl_rec_yards,nfl_rec_tds,nfl_yac,nfl_yac_per_rec
48327,A.J. Brown,Eagles,2023,165,33,14,0.4242424242424242,111,1500,7,487,4.4
48327,A.J. Brown,Eagles,2024,101,26,15,0.5769230769230769,68,1086,7,357,5.3
48327,A.J. Brown,Eagles,2025,129,38,18,0.4736842105263157,81,1027,7,270,3.3
48329,Dezmon Patmon,Colts,2022,6,1,0,0.0,2,24,0,7,3.5
48341,Steven Sims,Steelers,2022,22,3,1,0.3333333333333333,14,104,0,63,4.5
48341,Steven Sims,Texans,2023,3,0,0,,3,25,0,30,10.0
48341,Steven Sims,Texans,2024,0,0,0,,0,0,0,0,0.0
48341,Steven Sims,Cardinals,2025,1,0,0,,0,0,0,0,0.0
51593,Keelan Cole Sr.,Raiders,2022,24,6,1,0.1666666666666666,10,141,1,22,2.2
52130,Isaiah Hodgins,Giants,2022,50,10,6,0.6,41,442,4,123,3.0
52130,Isaiah Hodgins,Giants,2023,33,12,4,0.3333333333333333,22,257,3,76,3.5
52130,Isaiah Hodgins,Giants,2024,2,0,0,,2,12,0,1,0.5
52130,Isaiah Hodgins,Giants,2025,20,4,2,0.5,10,115,1,18,1.8
52195,Austin Trammell,Rams,2022,4,1,0,0.0,2,13,0,0,0.0
52195,Austin Trammell,Rams,2023,6,1,0,0.0,4,29,0,35,8.8
52195,Austin Trammell,Jaguars,2024,3,1,0,0.0,2,40,0,9,4.5
52195,Austin Trammell,Jaguars,2025,9,1,1,1.0,3,46,0,0,0.0
55003,D.J. Montgomery,Colts,2023,7,3,1,0.3333333333333333,3,56,1,29,9.7
55038,Charlie Jones,Bengals,2023,9,0,0,,7,64,0,34,4.9
55038,Charlie Jones,Bengals,2024,1,0,0,,1,5,0,0,0.0
55038,Charlie Jones,Bengals,2025,1,0,0,,0,0,0,0,0.0
55410,Gabe Davis,Bills,2022,103,26,8,0.3076923076923077,51,856,7,146,2.9
55410,Gabe Davis,Bills,2023,83,14,7,0.5,49,786,7,192,3.9
55410,Gabe Davis,Jaguars,2024,43,10,2,0.2,20,239,2,43,2.1
55410,Gabe Davis,Bills,2025,18,7,5,0.7142857142857143,12,129,1,30,2.5
61100,DeVonta Smith,Eagles,2022,137,28,12,0.4285714285714285,97,1209,7,487,5.0
61100,DeVonta Smith,Eagles,2023,115,25,10,0.4,82,1072,7,290,3.5
61100,DeVonta Smith,Eagles,2024,86,16,7,0.4375,68,833,8,292,4.3
61100,DeVonta Smith,Eagles,2025,122,27,11,0.4074074074074074,81,1077,4,305,3.8
61103,Jerry Jeudy,Broncos,2022,105,13,3,0.2307692307692307,70,995,6,418,6.0
61103,Jerry Jeudy,Broncos,2023,89,16,3,0.1875,55,764,2,321,5.8
61103,Jerry Jeudy,Browns,2024,151,25,9,0.36,93,1240,4,394,4.2
