player_id,player,college_team,college_season,college_targets,college_contested_targets,college_contested_receptions,college_cc_rate,college_receptions,college_rec_yards,college_rec_tds,college_yac,college_yac_per_rec
12613,LeCharles Pringle,ALCORN ST,2021,74,13,7,0.5384615384615384,45,718,7,258,5.7
13408,Vincent Perry,TENN STATE,2021,42,7,2,0.2857142857142857,19,152,1,107,5.6
22169,Garris Schwarting,CHARLES SO,2021,102,24,6,0.25,51,568,5,302,5.9
22172,Robbie Lofton,E ILLINOIS,2021,42,7,2,0.2857142857142857,17,161,2,28,1.6
22373,Raleigh Webb,CITADEL,2021,56,7,4,0.5714285714285714,26,557,3,212,8.2
22559,Matthew Martin,N GREENVLE,2021,6,2,1,0.5,4,71,0,5,1.3
22777,Tanner Conner,IDAHO ST,2021,88,22,9,0.4090909090909091,47,815,4,338,7.2
22869,Evan Fairs,PRVIEW A&M,2021,21,3,1,0.3333333333333333,13,237,2,110,8.5
23226,Kwamie Lassiter II,KANSAS,2021,79,10,5,0.5,59,653,3,275,4.7
23498,Trevor Begue,INCAR WORD,2021,68,7,2,0.2857142857142857,50,657,3,393,7.9
23507,Ron Hunt,NC A&T,2021,55,11,1,0.0909090909090909,23,400,2,122,5.3
23913,Samuel St. Surin,YNGTOWN ST,2021,14,2,1,0.5,9,116,1,42,4.7
24406,Arron McKenney,NICHOLLS,2021,10,3,2,0.6666666666666666,4,49,0,10,2.5
24639,Cyron Sutton,TULANE,2021,0,0,0,,0,0,0,0,0.0
25211,Samuel Akem,MONTANA,2021,91,31,15,0.4838709677419355,49,683,7,255,5.2
25276,Samori Toure,NEBRASKA,2021,78,8,3,0.375,48,951,5,373,7.8
25924,Geoffrey Wall,CHARLES SO,2021,91,4,1,0.25,65,514,2,462,7.1
26090,Aaron Young,FAU,2021,1,0,0,,0,0,0,0,0.0
26579,Wesley Wolfolk,MORGAN ST,2021,59,13,6,0.4615384615384615,27,343,4,79,2.9
26698,Dominic Thieman,DUQUESNE,2021,36,8,5,0.625,17,227,0,40,2.4
26944,Trey Harrell,ARKAPB,2021,39,8,3,0.375,26,294,1,106,4.1
27369,Kekoa Crawford,CAL,2021,62,9,6,0.6666666666666666,40,513,0,129,3.2
28840,Jared Harrell,UC DAVIS,2021,86,16,2,0.125,45,556,5,173,3.8
28869,Khris Vaughn,UC DAVIS,2021,25,4,1,0.25,15,256,0,125,8.3
28983,Mekhi Stevenson,IDAHO,2021,50,9,5,0.5555555555555556,28,361,1,61,2.2
30678,Lonnie Moore IV,MONMOUTH,2021,119,13,7,0.5384615384615384,80,789,6,482,6.0
32736,Raul Aranda,LOUCOL,2021,1,0,0,,0,0,0,0,0.0
32933,Britain Covey,UTAH,2021,66,13,7,0.5384615384615384,46,467,2,294,6.4
33709,James Ellis II,GARD-WEBB,2021,26,5,2,0.4,16,147,0,32,2.0
34567,Kameron Brown,COAST CAR,2021,45,7,3,0.4285714285714285,33,563,5,229,6.9
34850,Dahu Green,ARK STATE,2021,32,8,1,0.125,19,296,3,66,3.5
38411,Melquise Stovall,PITTSBURGH,2021,21,2,0,0.0,14,189,1,51,3.6
